Seconds, instWeight, Thrust, ThrustX, ThrustY, Air Resistance, density
0, 21519178.8860611, 34500000, 0, 34500000, 0.0, 1.2275199342947976
1, 21420917.795257166, 34500000, 3467032.6113673304, 34325350.469758, 286.55271758215054, 1.2275199342947976
2, 21322617.02906826, 34500000, 3501519.6994832973, 34321849.59751048, 1165.2971626480091, 1.2275199342947976
3, 21224277.189513665, 34500000, 3536342.665518484, 34318279.10242636, 2677.038729177494, 1.2268227306708268
4, 21125898.35705915, 34500000, 3571504.490236756, 34314637.62997095, 4840.762851564869, 1.225430170155497
5, 21027480.61891632, 34500000, 3607008.291390387, 34310923.78799849, 7673.545645352746, 1.2233357854501872
6, 20929024.06913101, 34500000, 3642857.0741743273, 34307136.17218928, 11190.399055866512, 1.2205340286545716
7, 20830528.808665518, 34500000, 3679054.160821197, 34303273.320220396, 15404.116306470243, 1.2170203044984598
8, 20731994.94547429, 34500000, 3715602.496223778, 34299333.78493022, 20325.120773929997, 1.2127910024897504
9, 20633422.59457257, 34500000, 3752505.345140938, 34295316.059699595, 25961.319242430884, 1.2078435278510227
10, 20534811.878097586, 34500000, 3789765.804697985, 34291218.63021992, 32317.960605517397, 1.2021763311198372
11, 20436162.92536205, 34500000, 3827387.120600406, 34287039.93973616, 39397.50100697681, 1.1957889362805871
12, 20337475.872899424, 34500000, 3865372.5039346875, 34282778.40849288, 47199.47651109207, 1.1886819673034903
13, 20238750.86450072, 34500000, 3903725.224782899, 34278432.42287187, 55720.3843370018, 1.180857172959593
14, 20139988.051242627, 34500000, 3942448.513778842, 34274000.345979504, 64953.57373638024, 1.1723174497860493
15, 20041187.591506485, 34500000, 3981545.6074168743, 34269480.51220006, 74889.14755744848, 1.1630668630740721
16, 19942349.650988027, 34500000, 4021019.9049477014, 34264871.20833835, 85513.87555129713, 1.1531106657552863
17, 19843474.40269771, 34500000, 4060874.6583160646, 34260170.70899453, 96811.12046194765, 1.1424553150630974
18, 19744562.026951347, 34500000, 4101113.229799302, 34255377.246154584, 108760.77784990174, 1.1311084868491654
19, 19645612.711351167, 34500000, 4141739.0445197937, 34250489.01383892, 121339.23067364228, 1.1190790874388608
20, 19546626.650756996, 34500000, 4182755.3651079875, 34245504.1947941, 134519.3195251145, 1.1063772629100725
21, 19447604.04724775, 34500000, 4224165.622996537, 34240420.920156546, 148270.3293690832, 1.093014405687281
22, 19348545.110073145, 34500000, 4265973.254483953, 34235237.28838501, 162557.99368338007, 1.079003158345187
23, 19249450.055595897, 34500000, 4308181.69854488, 34229951.36503006, 177344.51670127487, 1.0643574145197294
24, 19150319.107224416, 34500000, 4350794.394489397, 34224561.18253205, 192588.61447252412, 1.0490923168329696
25, 19051152.495336283, 34500000, 4393814.905662398, 34219064.72384625, 208245.57536907887, 1.033224251740485
26, 18951950.457192887, 34500000, 4437246.607498415, 34213459.96160347, 224267.34060699996, 1.0167708412165548
27, 18852713.236845363, 34500000, 4481093.059811709, 34207744.81004714, 240602.6051806035, 0.9997509311983616
28, 18753441.085032452, 34500000, 4525357.621508398, 34201917.17429677, 257196.9397071442, 0.9821845767172517
29, 18654134.259070594, 34500000, 4570044.042083569, 34195974.872101784, 273992.9333491114, 0.9640930236485287
30, 18554793.022736847, 34500000, 4615155.8721918, 34189915.71027009, 290930.3581944129, 0.9454986870220891
31, 18455417.646145362, 34500000, 4660696.653594041, 34183737.459546134, 307946.35499288316, 0.9264251258376622
32, 18356008.40561796, 34500000, 4706669.915880314, 34177437.85456931, 324975.64040435007, 0.9068970143413084
33, 18256565.58354945, 34500000, 4753079.320457947, 34171014.57336956, 341950.73564354907, 0.8869401097185439
34, 18157089.468268663, 34500000, 4799928.295403223, 34164465.287180886, 358802.2163735768, 0.8665812161711004
35, 18057580.353895973, 34500000, 4847220.853197222, 34157787.54545338, 375458.98346689204, 0.8458481453494948
36, 17958038.540198136, 34500000, 4894960.395839135, 34150978.94238416, 391848.5544957693, 0.8247696731209119
37, 17858464.332441796, 34500000, 4943150.448110428, 34144037.014497064, 407897.3750583869, 0.8033754926548892
38, 17758858.041246105, 34500000, 4991794.99324582, 34136959.1900832, 423531.1497505452, 0.7816961638232283
39, 17659219.982435863, 34500000, 5040897.52196166, 34129742.92568113, 438675.19201451464, 0.7597630589036198
40, 17559550.476896565, 34500000, 5090461.825378452, 34122385.590757936, 453254.79179543024, 0.7376083045952991
41, 17459849.850431878, 34500000, 5140491.506267511, 34114884.53848249, 467195.6004635922, 0.7152647203583232
42, 17360118.43362547, 34500000, 5190990.309226128, 34107237.05622489, 480424.03170461045, 0.692765753086073
43, 17260356.561707843, 34500000, 5241962.2222430175, 34099440.34820186, 492867.67740729556, 0.6701454081380429
44, 17160564.574429955, 34500000, 5293410.494511448, 34091491.68541318, 504455.73722471204, 0.6474381767581394
45, 17060742.8159447, 34500000, 5345339.328691, 34083388.14527026, 515119.4601715868, 0.6246789599155905
46, 16960891.63469742, 34500000, 5397752.266641237, 34075126.859161794, 524792.5972670924, 0.6019029886109729
47, 16861011.383327376, 34500000, 5450652.991365972, 34066704.88861101, 533411.8628086243, 0.5791457406910093
48, 16761102.41858095, 34500000, 5504045.63522435, 34058119.1736327, 540917.4029099131, 0.5564428542399583
49, 16661165.10123822, 34500000, 5557933.415411251, 34049366.75108445, 547253.2691151443, 0.5338300376043522
50, 16561199.796054557, 34500000, 5612320.590080629, 34040444.43884593, 552367.8944828445, 0.5113429761324416
51, 16461206.871717865, 34500000, 5667210.680408554, 34031349.12259376, 556214.5703102541, 0.4890172357173911
52, 16361186.700823836, 34500000, 5722607.566111648, 34022077.57683651, 558751.9199982843, 0.46688816323653337
53, 16261139.659869617, 34500000, 5778515.085483224, 34012626.52908244, 559944.3676287241, 0.44499078401172465
54, 16161066.129267832, 34500000, 5834937.029288799, 34002992.66041497, 559762.5976416463, 0.4233596964108864
55, 16060966.493381863, 34500000, 5891877.0215945635, 33993172.62572598, 558184.0020773645, 0.40202896374517577
56, 15960841.140583793, 34500000, 5949338.961612051, 33983162.97697795, 555193.1113968977, 0.38103200362853246
57, 15860690.463335823, 34500000, 6007326.698006739, 33972960.217552654, 548870.1125591194, 0.35915043788228757
58, 15760514.858296677, 34500000, 6065843.902731745, 33962560.824350275, 536205.1807802059, 0.3347084397070713
59, 15660314.720751585, 34500000, 6124894.5389698595, 33951961.164069705, 522681.47977181815, 0.31140523851868696
60, 15560090.43588388, 34500000, 6184482.020232993, 33941157.64291806, 508379.2360369168, 0.2892314970416915
61, 15459842.395489145, 34500000, 6244610.798452271, 33930146.41842639, 493380.6713692426, 0.2681740474497364
62, 15359570.998356678, 34500000, 6305284.0165463155, 33918923.82536164, 477769.6361291345, 0.24821631684282155
63, 15259276.650655922, 34500000, 6366505.479466497, 33907486.01680642, 461630.961012679, 0.22933857877381245
64, 15158959.766325297, 34500000, 6428279.183785883, 33895829.046289824, 445049.81576818455, 0.21151821283941288
65, 15058620.767462488, 34500000, 6490608.789422893, 33883948.96617964, 428111.08036970394, 0.1947299701470703
66, 14958260.08471385, 34500000, 6553498.002404217, 33871841.755837314, 410898.7343977511, 0.17894624250215485
67, 14857878.157660682, 34500000, 6616950.64950387, 33859503.30560137, 393495.27023070294, 0.1641373331890089
68, 14757475.43520071, 34500000, 6680970.039688413, 33846929.540636115, 375981.1352198842, 0.1502717272793878
69, 14657052.375923099, 34500000, 6745560.310640568, 33834116.15655877, 358434.2076693509, 0.13731635948156093
70, 14556609.448474841, 34500000, 6810724.935079455, 33821058.91096089, 340929.31126488955, 0.12523687763455588
71, 14456147.131917894, 34500000, 6876467.495113534, 33807753.471484125, 323537.7717080111, 0.11399790005833468
72, 14355665.9160748, 34500000, 6942791.692940529, 33794195.41146728, 306327.01925448753, 0.10356326509804335
73, 14255166.301861897, 34500000, 7009701.203598215, 33780380.23818373, 289360.23999545805, 0.09389627132761409
74, 14154648.801609214, 34500000, 7077199.429551896, 33766303.443438254, 272696.07819416805, 0.08495990703016597
75, 14054113.93936599, 34500000, 7145290.050603425, 33751960.38888331, 256388.3913545356, 0.07671706772535337
76, 13953562.251190966, 34500000, 7213976.6314746365, 33737346.38587537, 240486.05907740755, 0.06913076067616622
77, 13852994.285427231, 34500000, 7283262.439695273, 33722456.734860286, 225032.84598776273, 0.06216429547578085
78, 13752410.602961075, 34500000, 7353151.20103156, 33707286.56262275, 210067.3184191809, 0.055781459987756854
79, 13651811.777464502, 34500000, 7423646.07964888, 33691831.04083412, 195622.81388774377, 0.04994668108393271
